,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,2,2,2,5,2,5,2,3,5,3,5,2,2,5,5,2,2,5,5,3,2,2,5,2,5,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,5,5,3,5,2,2,5,2,5,2,5,2,5,5,2,2,2,5,5,2,2,5,5,2,2,2,3,5,2,2,3,2,2,5,2,5,5,5,5,3,3,3,5,2,3,2,2,5,2,2,5,2,2,5,5,5,2,2,2
User Picked,3,5,5,11,3,11,3,6,9,4,11,3,3,11,13,5,5,13,11,6,3,5,11,5,11,3,3,5,5,3,3,13,3,5,3,5,5,3,5,11,3,11,11,4,9,3,3,11,3,11,3,11,3,11,11,5,5,5,11,11,3,5,11,13,5,3,3,4,11,5,3,6,5,5,11,3,13,11,9,13,6,4,6,11,3,4,5,5,9,5,5,11,5,3,11,13,11,5,5,5
Cost,-1,-1,-1,0.006049332,-1,0.174582391,-1,-1,0.064308074,-1,0.174582391,-1,-1,0.006049332,0,-1,-1,0.038062613,0.006049332,-1,-1,-1,0.224403927,-1,0.174582391,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0.006049332,-1,0.174582391,0.110534058,-1,0.006049332,-1,-1,0.110534058,-1,0.110534058,-1,0.006049332,-1,0.110534058,0.224403927,-1,-1,-1,0.174582391,0.110534058,-1,-1,0.224403927,0.038062613,-1,-1,-1,-1,0.006049332,-1,-1,-1,-1,-1,0.174582391,-1,0,0.110534058,0.006049332,0,-1,-1,-1,0.224403927,-1,-1,-1,-1,0.006049332,-1,-1,0.224403927,-1,-1,0.110534058,0,0.110534058,-1,-1,-1
Selected Points,-1,-1,-1,0.636363636,-1,0.727272727,-1,-1,0.666666667,-1,0.727272727,-1,-1,0.636363636,0.615384615,-1,-1,0.615384615,0.636363636,-1,-1,-1,0.636363636,-1,0.727272727,-1,-1,-1,-1,-1,-1,0.615384615,-1,-1,-1,-1,-1,-1,-1,0.636363636,-1,0.727272727,0.727272727,-1,0.777777778,-1,-1,0.727272727,-1,0.727272727,-1,0.636363636,-1,0.727272727,0.636363636,-1,-1,-1,0.727272727,0.727272727,-1,-1,0.636363636,0.615384615,-1,-1,-1,-1,0.636363636,-1,-1,-1,-1,-1,0.727272727,-1,0.615384615,0.727272727,0.777777778,0.615384615,-1,-1,-1,0.636363636,-1,-1,-1,-1,0.777777778,-1,-1,0.636363636,-1,-1,0.727272727,0.615384615,0.727272727,-1,-1,-1
Completion Rate,-1,-1,-1,1,-1,0.517816851,-1,-1,0.731691311,-1,0.517816851,-1,-1,1,0.628414527,-1,-1,0.529629188,1,-1,-1,-1,0.569503455,-1,0.517816851,-1,-1,-1,-1,-1,-1,0.628414527,-1,-1,-1,-1,-1,-1,-1,1,-1,0.517816851,0.5856607,-1,1,-1,-1,0.5856607,-1,0.5856607,-1,1,-1,0.5856607,0.569503455,-1,-1,-1,0.517816851,0.5856607,-1,-1,0.569503455,0.529629188,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0.517816851,-1,0.628414527,0.5856607,1,0.628414527,-1,-1,-1,0.569503455,-1,-1,-1,-1,1,-1,-1,0.569503455,-1,-1,0.5856607,0.628414527,0.5856607,-1,-1,-1
Idle Rate,-1,-1,-1,0.767244106,-1,0.737150022,-1,-1,0.702111388,-1,0.737150022,-1,-1,0.767244106,0.765009698,-1,-1,0.724594265,0.767244106,-1,-1,-1,0.644256803,-1,0.737150022,-1,-1,-1,-1,-1,-1,0.765009698,-1,-1,-1,-1,-1,-1,-1,0.767244106,-1,0.737150022,0.744123615,-1,0.767244106,-1,-1,0.744123615,-1,0.744123615,-1,0.767244106,-1,0.744123615,0.644256803,-1,-1,-1,0.737150022,0.744123615,-1,-1,0.644256803,0.724594265,-1,-1,-1,-1,0.767244106,-1,-1,-1,-1,-1,0.737150022,-1,0.765009698,0.744123615,0.767244106,0.765009698,-1,-1,-1,0.644256803,-1,-1,-1,-1,0.767244106,-1,-1,0.644256803,-1,-1,0.744123615,0.765009698,0.744123615,-1,-1,-1
Score,-1,-1,-1,0.005,-1,0.005,-1,-1,0.005,-1,0.005,-1,-1,0.005,0.005,-1,-1,0.005,0.005,-1,-1,-1,0.005,-1,0.005,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,0.005,-1,0.005,0.005,-1,0.005,-1,-1,0.005,-1,0.005,-1,0.005,-1,0.005,0.005,-1,-1,-1,0.005,0.005,-1,-1,0.005,0.005,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,0.005,-1,0.005,0.005,0.005,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,0.005,-1,-1,0.005,-1,-1,0.005,0.005,0.005,-1,-1,-1
Time,1.624506235,1.612033129,1.568000555,2.043028355,1.594969749,2.006244421,1.590032339,1.635000944,2.001998663,1.647001266,2.039031267,1.566973448,1.600994349,2.026997805,2.010000467,1.586999655,1.609000683,2.019031286,2.041999817,1.5849998,1.564023972,1.578000546,2.037000179,1.587997437,2.08800149,1.627002954,1.580899715,1.582011938,1.640998602,1.573997498,1.60100174,2.03703022,1.576967955,1.756998777,1.71800065,1.682001591,1.680998802,2.149999619,1.737001896,2.233036757,1.971012592,2.5025177,2.281002283,1.690998554,2.128000259,1.732276678,1.673791409,2.23361659,1.680972338,2.119027853,1.632000685,2.153575182,1.698999643,2.216001749,2.163030148,1.739999771,1.673002005,1.820995569,2.123002291,2.108999968,1.677001476,1.653996468,2.049012184,2.05898881,1.59099865,1.611000299,1.615032911,1.585967302,2.042001247,1.616000652,1.580000877,1.60699749,1.611035824,1.578999996,2.050997019,1.609000444,2.0240376,2.05899477,2.060001135,2.026966572,1.61900115,1.621998549,1.586007833,2.055992603,1.609001398,1.590999365,1.602999449,1.610000372,2.016028404,1.610000849,1.602000713,2.029999018,1.607999325,1.61305666,2.013993979,2.064000368,2.108999968,1.625,1.652998447,1.623000145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
